File,Revisions,Refactorings,BugFixes,SumOfAdded Lines,MaxOfAdded Lines,AvgOfAdded Lines,SumOfDeleted Lines,MaxOfDeleted Lines,AvgOfDeleted Lines,MaxOfCodeChurn,AvgOfCodeChurn,AvgChangeset,Age
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/infomanager/ShrinkingMap.java,2,0,0,0,0,0,0,0,0,0,0,673,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/internaldb/DBViewerHelper.java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/internaldb/DBViewerPortlet.java,2,0,0,0,0,0,0,0,0,0,0,677,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/internaldb/DerbyConnectionUtil.java,2,0,0,0,0,0,0,0,0,0,0,677,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/internaldb/InternalDBHelper.java,2,0,0,0,0,0,0,0,0,0,0,677,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/internaldb/InternalDBPortlet.java,2,0,0,0,0,0,0,0,0,0,0,677,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/internaldb/RunSQLHelper.java,2,0,0,0,0,0,0,0,0,0,0,677,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/internaldb/RunSQLPortlet.java,2,0,0,0,0,0,0,0,0,0,0,677,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/AbstractJMSManager.java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/activemqCF/ActiveMQConnectorHelper.java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/DestinationInfo.java,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/handlers/CreateDestinationHandler.java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/handlers/PortletResponseHandler.java,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/handlers/RemoveDestinationHandler.java,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/handlers/StatisticsHandler.java,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/JMSConnectionFactoryManagerPortlet.java,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/JMSManagerPortlet.java,2,0,0,0,0,0,0,0,0,0,0,674,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/renderers/CreateDestinationRenderer.java,1,0,0,0,0,0,0,0,0,0,0,1340,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/renderers/PortletRenderer.java,2,0,0,0,0,0,0,0,0,0,0,676,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/renderers/StatisticsRenderer.java,2,0,0,0,0,0,0,0,0,0,0,676,14
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/renderers/ViewDestinationsRenderer.java,2,0,0,0,0,0,0,0,0,0,0,676,14
