File,Revisions,SumOfREF,SumOfAdded Lines,MaxOfAdded Lines,AvgOfAdded Lines,SumOfDeleted Lines,MaxOfDeleted Lines,AvgOfDeleted Lines,MaxOfCodeChurn,AvgChangeset,Age
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/ConfirmCAHandler.java,6,0,740,,123,368,,61,369,185,24
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/ConfirmCertReqHandler.java,6,0,288,,48,142,,24,143,72,24
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/ConfirmClientCertHandler.java,6,0,680,,113,338,,56,339,170,24
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/IntroHandler.java,6,0,380,,63,188,,31,189,95,24
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/ListRequestsIssueHandler.java,6,0,436,,73,216,,36,217,109,24
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/ListRequestsVerifyHandler.java,6,0,436,,73,216,,36,217,109,24
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/ProcessCSRHandler.java,6,0,328,,55,162,,27,163,82,24
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/SetupCAHandler.java,6,0,452,,75,224,,37,225,113,24
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/UnlockCAHandler.java,6,0,352,,59,174,,29,175,88,24
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/ca/ViewCertificateHandler.java,6,0,432,,72,214,,36,215,108,24
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/AddRepositoryHandler.java,2,0,2,,1,1,,0,3,2,24
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/BaseImportExportHandler.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/CARExportServlet.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/DownloadCARHandler.java,3,0,48,,16,29,,10,77,26,50
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/DownloadStatusHandler.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/ExportConfigHandler.java,4,0,268,,67,212,,53,240,120,50
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/ExportHandler.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/GeronimoAsMavenServlet.java,8,0,100,,12,242,,30,127,43,50
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/ImportExportPortlet.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/IndexHandler.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/ListHandler.java,4,0,42,,10,38,,10,40,20,50
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/ResultsHandler.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/UpdateListHandler.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/car/ViewPluginDownloadHandler.java,10,0,42,,4,18,,2,25,6,50
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/certmanager/actions/ChangeStorePassword.java,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/certmanager/actions/GenerateCSR.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/certmanager/actions/GenerateKeyPair.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/certmanager/actions/ImportCAReply.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/certmanager/actions/ImportTrustedCertificate.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/certmanager/actions/UploadCertificateFile.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/certmanager/actions/ViewKeyStore.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/certmanager/actions/ViewKeyStoreEntryDetail.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/certmanager/CertManagerPortlet.java,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/classloaderview/ClassLoaderViewPortlet.java,4,0,612,,153,203,,51,409,204,24
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configcreator/AbstractHandler.java,1,0,0,,0,0,,0,0,0,47
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configcreator/CreatePlanPortlet.java,2,0,0,,0,0,,0,0,0,47
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configcreator/DependenciesHandler.java,2,0,0,,0,0,,0,0,0,47
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configcreator/DeployStatusHandler.java,2,0,0,,0,0,,0,0,0,47
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configcreator/DisplayPlanHandler.java,2,0,0,,0,0,,0,0,0,47
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configcreator/EnvironmentHandler.java,2,0,0,,0,0,,0,0,0,47
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configcreator/GetArchiveHandler.java,2,0,0,,0,0,,0,0,0,47
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configcreator/JSR77_Util.java,2,0,0,,0,0,,0,0,0,47
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configcreator/JSR88_Util.java,2,0,0,,0,0,,0,0,0,47
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configcreator/ReferencesHandler.java,2,0,0,,0,0,,0,0,0,47
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configcreator/SecurityHandler.java,2,0,0,,0,0,,0,0,0,47
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configmanager/ConfigManagerPortlet.java,1,0,6,,6,6,,6,12,12,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configmanager/DeploymentPortlet.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/configmanager/PlanExportServlet.java,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/databasemanager/DataSourceInfo.java,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/databasemanager/wizard/DatabaseDriver.java,1,0,1,,1,0,,0,1,1,7
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/databasemanager/wizard/DatabaseDriverGBean.java,6,0,64,,11,22,,4,25,14,48
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/databasemanager/wizard/DatabasePoolPortlet.java,7,0,978,,140,850,,121,763,261,48
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/databasemanager/wizard/DriverDownloader.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/databasemanager/wizard/ImportStatus.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/dependencyview/DependencyViewPortlet.java,4,0,982,,246,327,,82,655,327,24
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/derbylogmanager/DerbyLogHelper.java,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/derbylogmanager/DerbyLogViewerPortlet.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/EmptyPortlet.java,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/infomanager/JavaSystemInfoPortlet.java,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/infomanager/ServerInfoPortlet.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/infomanager/ShrinkingMap.java,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/internaldb/DBViewerHelper.java,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/internaldb/DBViewerPortlet.java,3,0,14,,5,16,,5,12,10,17
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/internaldb/DerbyConnectionUtil.java,2,0,12,,6,12,,6,12,12,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/internaldb/InternalDBHelper.java,2,0,12,,6,12,,6,12,12,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/internaldb/InternalDBPortlet.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/internaldb/RunSQLHelper.java,2,0,12,,6,12,,6,12,12,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/internaldb/RunSQLPortlet.java,4,0,10,,2,14,,4,12,6,17
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/AbstractJMSManager.java,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/activemqCF/ActiveMQConnectorHelper.java,1,0,6,,6,6,,6,12,12,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/DestinationInfo.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/handlers/CreateDestinationHandler.java,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/handlers/PortletResponseHandler.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/handlers/RemoveDestinationHandler.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/handlers/StatisticsHandler.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/JMSConnectionFactoryManagerPortlet.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/JMSManagerPortlet.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/renderers/CreateDestinationRenderer.java,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/renderers/PortletRenderer.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/renderers/StatisticsRenderer.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/renderers/ViewDestinationsRenderer.java,2,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/renderers/ViewDLQRenderer.java,2,0,12,,6,12,,6,12,12,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/renderers/ViewMessagesRenderer.java,2,0,12,,6,12,,6,12,12,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/server/BaseJMSPortlet.java,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/server/JMSBrokerPortlet.java,1,0,0,,0,0,,0,0,0,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/server/JMSConnectorPortlet.java,2,0,12,,6,12,,6,12,12,9
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/wizard/AbstractHandler.java,2,0,8,,4,7,,4,12,8,47
applications/console/geronimo-console-standard/src/main/java/org/apache/geronimo/console/jmsmanager/wizard/ConfigureRAInstanceHandler.java,2,0,0,,0,0,,0,0,0,9
