File,Revisions,Refactorings,BugFixes,SumOfAdded Lines,MaxOfAdded Lines,AvgOfAdded Lines,SumOfDeleted Lines,MaxOfDeleted Lines,AvgOfDeleted Lines,MaxOfCodeChurn,AvgOfCodeChurn,MaxOfCount,AvgChangeset,Age
assemblies/geronimo-boilerplate-minimal/src/main/resources/bin/shutdown.sh,2,0,0,0,,0,0,,0,0,0,6,6,7
assemblies/geronimo-boilerplate-minimal/src/main/resources/bin/startup.bat,2,0,0,0,,0,0,,0,0,0,6,6,7
assemblies/geronimo-boilerplate-minimal/src/main/resources/LICENSE.txt,2,0,0,118,,59,0,,0,59,59,2,2,8
assemblies/geronimo-boilerplate-minimal/src/main/resources/NOTICE.txt,2,0,0,16,,8,0,,0,8,8,2,2,8
assemblies/geronimo-boilerplate-minimal/src/main/resources/var/log/client-log4j.properties,2,0,0,0,,0,0,,0,0,0,2,2,8
assemblies/geronimo-boilerplate-minimal/src/main/resources/var/log/server-log4j.properties,2,0,0,0,,0,0,,0,0,0,2,2,8
assemblies/geronimo-jetty-j2ee/pom.xml,4,0,0,26,,6,0,,0,13,6.5,98,27.25,10
assemblies/geronimo-jetty-j2ee/src/main/assembly/bin.xml,2,0,0,0,,0,0,,0,0,0,9,5,7
assemblies/geronimo-jetty-minimal/pom.xml,2,0,0,0,,0,0,,0,0,0,9,5,7
assemblies/geronimo-jetty-minimal/src/main/assembly/bin.xml,2,0,0,0,,0,0,,0,0,0,9,5,7
assemblies/geronimo-tomcat-j2ee/pom.xml,2,0,0,0,,0,0,,0,0,0,9,5,7
assemblies/geronimo-tomcat-j2ee/src/main/assembly/bin.xml,2,0,0,0,,0,0,,0,0,0,9,5,7
assemblies/geronimo-tomcat-minimal/pom.xml,2,0,0,0,,0,0,,0,0,0,9,5,7
assemblies/geronimo-tomcat-minimal/src/main/assembly/bin.xml,2,0,0,0,,0,0,,0,0,0,9,5,7
assemblies/j2ee-jetty-server/maven.xml,2,0,0,0,,0,0,,0,0,0,25,14,7
assemblies/j2ee-jetty-server/project.properties,2,0,0,0,,0,0,,0,0,0,25,14,7
assemblies/j2ee-jetty-server/project.xml,2,0,0,0,,0,0,,0,0,0,25,14,7
assemblies/j2ee-tomcat-server/maven.xml,2,0,0,0,,0,0,,0,0,0,25,14,7
assemblies/j2ee-tomcat-server/project.properties,2,0,0,0,,0,0,,0,0,0,25,14,7
assemblies/j2ee-tomcat-server/project.xml,2,0,0,0,,0,0,,0,0,0,25,14,7
assemblies/minimal-jetty-server/maven.xml,2,0,0,0,,0,0,,0,0,0,25,14,7
assemblies/minimal-jetty-server/project.properties,2,0,0,0,,0,0,,0,0,0,25,14,7
assemblies/minimal-jetty-server/project.xml,2,0,0,0,,0,0,,0,0,0,25,14,7
assemblies/minimal-tomcat-server/maven.xml,2,0,0,0,,0,0,,0,0,0,25,14,7
assemblies/minimal-tomcat-server/project.properties,2,0,0,0,,0,0,,0,0,0,25,14,7
assemblies/minimal-tomcat-server/project.xml,2,0,0,0,,0,0,,0,0,0,25,14,7
assemblies/pom.xml,2,0,0,0,,0,2,,1,2,1,6,5,7
bootstrap,2,0,0,19,,10,0,,0,19,9.5,3,3,8
bootstrap.bat,3,0,0,20,,7,1,,0,19,7,3,2.33,8
bootstrap.xml,5,0,0,31,,6,13,,3,23,8.8,6,2.8,8
BUILDING.txt,6,0,0,12,,2,6,,1,6,3,4,1.67,10
configs/activemq/src/plan/plan.xml,3,0,0,0,,0,0,,0,0,0,16,11,9
configs/activemq-broker/pom.xml,3,0,0,0,,0,0,,0,0,0,16,11,9
configs/activemq-broker/src/plan/plan.xml,5,0,0,2,,0,18,,4,10,4,16,7.4,10
configs/axis-deployer/src/plan/plan.xml,2,2,0,0,,0,0,,0,0,0,98,49.5,10
